21-04-2019 14:51:44 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
21-04-2019 14:51:44 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
21-04-2019 14:52:08 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
21-04-2019 14:52:08 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
26-04-2019 00:10:16 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
26-04-2019 00:10:16 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
26-04-2019 00:12:26 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
26-04-2019 00:12:26 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
26-04-2019 00:13:48 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
26-04-2019 00:13:48 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
26-04-2019 00:15:15 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
26-04-2019 00:15:15 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
26-04-2019 00:16:49 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
26-04-2019 00:16:49 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
26-04-2019 00:18:14 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
26-04-2019 00:18:14 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
26-04-2019 00:20:19 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
26-04-2019 00:20:19 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
26-04-2019 00:23:49 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
26-04-2019 00:23:49 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
26-04-2019 00:24:17 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
26-04-2019 00:24:17 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
01-05-2019 12:52:18 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
01-05-2019 12:52:18 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
01-05-2019 12:53:05 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
01-05-2019 12:53:05 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
01-05-2019 12:53:21 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
01-05-2019 12:53:21 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
01-05-2019 12:53:53 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
01-05-2019 12:53:53 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
01-05-2019 12:54:26 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
01-05-2019 12:54:26 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
03-05-2019 22:10:14 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
03-05-2019 22:10:14 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
03-05-2019 22:10:27 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
03-05-2019 22:10:27 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
03-05-2019 22:10:47 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
03-05-2019 22:10:47 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
04-05-2019 00:54:55 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
04-05-2019 00:54:55 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
04-05-2019 00:55:08 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
04-05-2019 00:55:08 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
04-05-2019 00:55:58 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
04-05-2019 00:55:58 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
04-05-2019 00:56:44 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
04-05-2019 00:56:44 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
04-05-2019 10:08:24 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
04-05-2019 10:08:24 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
04-05-2019 10:17:19 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
04-05-2019 10:17:19 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
04-05-2019 10:17:59 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
04-05-2019 10:17:59 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
04-05-2019 10:18:27 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
04-05-2019 10:18:27 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
04-05-2019 10:19:16 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
04-05-2019 10:19:16 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
04-05-2019 10:20:26 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
04-05-2019 10:20:26 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
04-05-2019 10:21:40 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
